n,tip,repetari,algoritm,status,rulari,timp_total_sec,timp_mediu_sec,timp_min_sec,timp_max_sec,memorie_auxiliara_estimata_bytes,memorie_totala_estimata_bytes
100,invers_sortat,2000,Bubble Sort,OK,2000,0.024217,0.000012,0.000009,0.000054,0,400
100,invers_sortat,2000,Selection Sort,OK,2000,0.008339,0.000004,0.000003,0.000026,0,400
100,invers_sortat,2000,Insertion Sort,OK,2000,0.010786,0.000005,0.000004,0.000028,0,400
100,invers_sortat,2000,Quick Sort,OK,2000,0.001526,0.000001,0.000000,0.000006,0,400
100,invers_sortat,2000,Merge Sort,OK,2000,0.004300,0.000002,0.000001,0.000013,400,800
100,invers_sortat,2000,Heap Sort,OK,2000,0.004062,0.000002,0.000001,0.000026,0,400
100,invers_sortat,2000,Counting Sort,OK,2000,0.001142,0.000001,0.000000,0.000005,800,1200
100,invers_sortat,2000,Radix Sort,OK,2000,0.001743,0.000001,0.000000,0.000004,440,840
100,aproape_sortat,2000,Bubble Sort,OK,2000,0.010796,0.000005,0.000004,0.000021,0,400
100,aproape_sortat,2000,Selection Sort,OK,2000,0.007977,0.000004,0.000003,0.000019,0,400
100,aproape_sortat,2000,Insertion Sort,OK,2000,0.001672,0.000001,0.000000,0.000010,0,400
100,aproape_sortat,2000,Quick Sort,OK,2000,0.001892,0.000001,0.000000,0.000011,0,400
100,aproape_sortat,2000,Merge Sort,OK,2000,0.004823,0.000002,0.000002,0.000018,400,800
100,aproape_sortat,2000,Heap Sort,OK,2000,0.006925,0.000003,0.000002,0.000028,0,400
100,aproape_sortat,2000,Counting Sort,OK,2000,0.001234,0.000001,0.000000,0.000003,800,1200
100,aproape_sortat,2000,Radix Sort,OK,2000,0.001840,0.000001,0.000000,0.000013,440,840
100,plat,2000,Bubble Sort,OK,2000,0.022777,0.000011,0.000009,0.000029,0,400
100,plat,2000,Selection Sort,OK,2000,0.009984,0.000005,0.000004,0.000038,0,400
100,plat,2000,Insertion Sort,OK,2000,0.005977,0.000003,0.000002,0.000017,0,400
100,plat,2000,Quick Sort,OK,2000,0.004273,0.000002,0.000001,0.000014,0,400
100,plat,2000,Merge Sort,OK,2000,0.006659,0.000003,0.000002,0.000013,400,800
100,plat,2000,Heap Sort,OK,2000,0.006898,0.000003,0.000002,0.000028,0,400
100,plat,2000,Counting Sort,OK,2000,0.001114,0.000001,0.000000,0.000025,420,820
100,plat,2000,Radix Sort,OK,2000,0.001197,0.000001,0.000000,0.000008,440,840
1000,aleator,100,Bubble Sort,OK,100,0.082218,0.000822,0.000766,0.000962,0,4000
1000,aleator,100,Selection Sort,OK,100,0.037809,0.000378,0.000364,0.000472,0,4000
1000,aleator,100,Insertion Sort,OK,100,0.024595,0.000246,0.000233,0.000271,0,4000
1000,aleator,100,Quick Sort,OK,100,0.004215,0.000042,0.000040,0.000052,0,4000
1000,aleator,100,Merge Sort,OK,100,0.005236,0.000052,0.000050,0.000078,4000,8000
1000,aleator,100,Heap Sort,OK,100,0.006861,0.000069,0.000065,0.000084,0,4000
1000,aleator,100,Counting Sort,OK,100,0.000336,0.000003,0.000003,0.000006,8000,12000
1000,aleator,100,Radix Sort,OK,100,0.000870,0.000009,0.000008,0.000010,4040,8040
1000,sortat,100,Bubble Sort,OK,100,0.038701,0.000387,0.000369,0.000501,0,4000
1000,sortat,100,Selection Sort,OK,100,0.034100,0.000341,0.000331,0.000409,0,4000
1000,sortat,100,Insertion Sort,OK,100,0.000173,0.000002,0.000001,0.000006,0,4000
1000,sortat,100,Quick Sort,OK,100,0.000587,0.000006,0.000005,0.000014,0,4000
1000,sortat,100,Merge Sort,OK,100,0.002696,0.000027,0.000025,0.000061,4000,8000
1000,sortat,100,Heap Sort,OK,100,0.003707,0.000037,0.000031,0.000083,0,4000
1000,sortat,100,Counting Sort,OK,100,0.000364,0.000004,0.000003,0.000009,8000,12000
1000,sortat,100,Radix Sort,OK,100,0.000868,0.000009,0.000008,0.000018,4040,8040
1000,invers_sortat,100,Bubble Sort,OK,100,0.109259,0.001093,0.000906,0.001199,0,4000
1000,invers_sortat,100,Selection Sort,OK,100,0.036075,0.000361,0.000351,0.000451,0,4000
1000,invers_sortat,100,Insertion Sort,OK,100,0.048828,0.000488,0.000470,0.000640,0,4000
1000,invers_sortat,100,Quick Sort,OK,100,0.000663,0.000007,0.000006,0.000012,0,4000
1000,invers_sortat,100,Merge Sort,OK,100,0.002683,0.000027,0.000026,0.000035,4000,8000
1000,invers_sortat,100,Heap Sort,OK,100,0.003188,0.000032,0.000027,0.000068,0,4000
1000,invers_sortat,100,Counting Sort,OK,100,0.000339,0.000003,0.000003,0.000005,8000,12000
1000,invers_sortat,100,Radix Sort,OK,100,0.000843,0.000008,0.000008,0.000012,4040,8040
1000,aproape_sortat,100,Bubble Sort,OK,100,0.045431,0.000454,0.000434,0.000519,0,4000
1000,aproape_sortat,100,Selection Sort,OK,100,0.033890,0.000339,0.000332,0.000379,0,4000
1000,aproape_sortat,100,Insertion Sort,OK,100,0.003316,0.000033,0.000026,0.000044,0,4000
1000,aproape_sortat,100,Quick Sort,OK,100,0.001011,0.000010,0.000009,0.000014,0,4000
1000,aproape_sortat,100,Merge Sort,OK,100,0.003009,0.000030,0.000029,0.000040,4000,8000
1000,aproape_sortat,100,Heap Sort,OK,100,0.006081,0.000061,0.000055,0.000079,0,4000
1000,aproape_sortat,100,Counting Sort,OK,100,0.000346,0.000003,0.000003,0.000005,8000,12000
1000,aproape_sortat,100,Radix Sort,OK,100,0.000867,0.000009,0.000008,0.000011,4040,8040
1000,plat,100,Bubble Sort,OK,100,0.069386,0.000694,0.000641,0.000752,0,4000
1000,plat,100,Selection Sort,OK,100,0.034777,0.000348,0.000341,0.000388,0,4000
1000,plat,100,Insertion Sort,OK,100,0.020187,0.000202,0.000185,0.000247,0,4000
1000,plat,100,Quick Sort,OK,100,0.002123,0.000021,0.000018,0.000028,0,4000
1000,plat,100,Merge Sort,OK,100,0.003995,0.000040,0.000038,0.000051,4000,8000
1000,plat,100,Heap Sort,OK,100,0.005212,0.000052,0.000048,0.000060,0,4000
1000,plat,100,Counting Sort,OK,100,0.000316,0.000003,0.000002,0.000008,4020,8020
1000,plat,100,Radix Sort,OK,100,0.000374,0.000004,0.000003,0.000009,4040,8040
10000,aleator,10,Bubble Sort,SKIP_TIMP,0,0.000000,0.000000,0.000000,0.000000,0,40000
10000,aleator,10,Selection Sort,SKIP_TIMP,0,0.000000,0.000000,0.000000,0.000000,0,40000
10000,aleator,10,Insertion Sort,SKIP_TIMP,0,0.000000,0.000000,0.000000,0.000000,0,40000
10000,aleator,10,Quick Sort,OK,10,0.005292,0.000529,0.000504,0.000585,0,40000
10000,aleator,10,Merge Sort,OK,10,0.006670,0.000667,0.000655,0.000722,40000,80000
10000,aleator,10,Heap Sort,OK,10,0.009085,0.000908,0.000860,0.000965,0,40000
10000,aleator,10,Counting Sort,OK,10,0.000346,0.000035,0.000033,0.000036,80000,120000
10000,aleator,10,Radix Sort,OK,10,0.001065,0.000107,0.000105,0.000108,40040,80040
10000,sortat,10,Bubble Sort,SKIP_TIMP,0,0.000000,0.000000,0.000000,0.000000,0,40000
10000,sortat,10,Selection Sort,SKIP_TIMP,0,0.000000,0.000000,0.000000,0.000000,0,40000
10000,sortat,10,Insertion Sort,SKIP_TIMP,0,0.000000,0.000000,0.000000,0.000000,0,40000
10000,sortat,10,Quick Sort,OK,10,0.000750,0.000075,0.000070,0.000092,0,40000
10000,sortat,10,Merge Sort,OK,10,0.003432,0.000343,0.000338,0.000365,40000,80000
10000,sortat,10,Heap Sort,OK,10,0.007317,0.000732,0.000709,0.000811,0,40000
10000,sortat,10,Counting Sort,OK,10,0.000368,0.000037,0.000035,0.000043,80000,120000
10000,sortat,10,Radix Sort,OK,10,0.001108,0.000111,0.000107,0.000122,40040,80040
10000,invers_sortat,10,Bubble Sort,SKIP_TIMP,0,0.000000,0.000000,0.000000,0.000000,0,40000
10000,invers_sortat,10,Selection Sort,SKIP_TIMP,0,0.000000,0.000000,0.000000,0.000000,0,40000
10000,invers_sortat,10,Insertion Sort,SKIP_TIMP,0,0.000000,0.000000,0.000000,0.000000,0,40000
10000,invers_sortat,10,Quick Sort,OK,10,0.000827,0.000083,0.000078,0.000098,0,40000
10000,invers_sortat,10,Merge Sort,OK,10,0.003437,0.000344,0.000335,0.000363,40000,80000
10000,invers_sortat,10,Heap Sort,OK,10,0.007509,0.000751,0.000659,0.000849,0,40000
10000,invers_sortat,10,Counting Sort,OK,10,0.000358,0.000036,0.000033,0.000045,80000,120000
10000,invers_sortat,10,Radix Sort,OK,10,0.001108,0.000111,0.000106,0.000126,40040,80040
10000,aproape_sortat,10,Bubble Sort,SKIP_TIMP,0,0.000000,0.000000,0.000000,0.000000,0,40000
10000,aproape_sortat,10,Selection Sort,SKIP_TIMP,0,0.000000,0.000000,0.000000,0.000000,0,40000
10000,aproape_sortat,10,Insertion Sort,SKIP_TIMP,0,0.000000,0.000000,0.000000,0.000000,0,40000
10000,aproape_sortat,10,Quick Sort,OK,10,0.001308,0.000131,0.000122,0.000148,0,40000
10000,aproape_sortat,10,Merge Sort,OK,10,0.004044,0.000404,0.000379,0.000455,40000,80000
10000,aproape_sortat,10,Heap Sort,OK,10,0.008012,0.000801,0.000749,0.000845,0,40000
10000,aproape_sortat,10,Counting Sort,OK,10,0.000364,0.000036,0.000034,0.000039,80000,120000
10000,aproape_sortat,10,Radix Sort,OK,10,0.001103,0.000110,0.000106,0.000126,40040,80040
10000,plat,10,Bubble Sort,SKIP_TIMP,0,0.000000,0.000000,0.000000,0.000000,0,40000
10000,plat,10,Selection Sort,SKIP_TIMP,0,0.000000,0.000000,0.000000,0.000000,0,40000
10000,plat,10,Insertion Sort,SKIP_TIMP,0,0.000000,0.000000,0.000000,0.000000,0,40000
10000,plat,10,Quick Sort,OK,10,0.002343,0.000234,0.000216,0.000268,0,40000
10000,plat,10,Merge Sort,OK,10,0.004720,0.000472,0.000450,0.000522,40000,80000
10000,plat,10,Heap Sort,OK,10,0.006684,0.000668,0.000632,0.000707,0,40000
10000,plat,10,Counting Sort,OK,10,0.000304,0.000030,0.000028,0.000037,40020,80020
10000,plat,10,Radix Sort,OK,10,0.000324,0.000032,0.000032,0.000033,40040,80040
100000,aleator,3,Bubble Sort,SKIP_TIMP,0,0.000000,0.000000,0.000000,0.000000,0,400000
100000,aleator,3,Selection Sort,SKIP_TIMP,0,0.000000,0.000000,0.000000,0.000000,0,400000
100000,aleator,3,Insertion Sort,SKIP_TIMP,0,0.000000,0.000000,0.000000,0.000000,0,400000
100000,aleator,3,Quick Sort,OK,3,0.018691,0.006230,0.006115,0.006373,0,400000
100000,aleator,3,Merge Sort,OK,3,0.025031,0.008344,0.008262,0.008500,400000,800000
